Termék neve;Kiszerelés neve;TK szám;Hatóanyag;Forg Eng Jog;ATC kód 1/ATC kód 2;A hiány kezdete;A hiány tervezett vége;A hiány oka;Javaslat a hiánykészítmény pótlására;
"Champix 0,5 mg filmtabletta;""56 X   - HDPE tartályban"";""EU/1/06/360/001"";""varenicline"";""Pfizer Europe MA EEIG "";""N07BA03"";""2021-06-17 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Champix 0,5 mg és 1 mg filmtabletta;""11x0.5mg + 14 X 1 mg buborékcsomagolásban"";""EU/1/06/360/003"";""varenicline"";""Pfizer Europe MA EEIG "";""N07BA03"";""2021-06-17 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Champix 1 mg filmtabletta;""28 X   - buborékcsomagolásban"";""EU/1/06/360/004"";""varenicline"";""Pfizer Europe MA EEIG "";""N07BA03"";""2021-06-17 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Champix 1 mg filmtabletta;""56 X   - buborékcsomagolásban"";""EU/1/06/360/005"";""varenicline"";""Pfizer Europe MA EEIG "";""N07BA03"";""2021-04-30 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Cinqaero 10 mg/ml koncentrátum oldatos infúzióhoz;""1 X 2.5 ml injekciós üvegben"";""EU/1/16/1125/002"";""reslizumab"";""Teva B.V."";""R03DX08"";""2025-10-14 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"Clopidogrel Teva 75 mg filmtabletta;""30 X 1 - buborékcsomagolásban"";""EU/1/09/540/012"";""clopidogrel"";""Teva B.V."";""B01AC04"";""2024-01-09 00:00:00"";"""";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"CoAprovel 300 mg/12,5 mg tabletta;""28 X   - buborékcsomagolásban"";""EU/1/98/086/004"";""irbesartan;hydrochlorothiazide"";""Sanofi Winthrop Industrie"";""C09DA04"";""2025-10-31 00:00:00"";"""";""Adminisztratív okok"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"Combivir 150 mg/300 mg filmtabletta;""60 X   - buborékcsomagolásban"";""EU/1/98/058/001"";""lamivudine;zidovudine"";""ViiV Healthcare B.V. "";""J05AR01"";""2022-09-26 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"Competact 15 mg/850 mg filmtabletta;""56 X   - "";""EU/1/06/354/005"";""pioglitazone;metformin"";""Cheplapharm Arzneimittel GmbH"";""A10BD05"";""2018-10-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Corbilta  50 mg/12,5 mg/200 mg filmtabletta;""30 X   - HDPE tartályban"";""EU/1/13/859/002"";""levodopa;carbidopa;entacapone"";""Orion Corporation"";""N04BA03"";""2025-08-14 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"Cymbalta 30 mg gyomornedv-ellenálló kemény kapszula;""28 X   - "";""EU/1/04/296/001"";""duloxetine"";""Eli Lilly Nederland B.V."";""N06AX21"";""2025-04-30 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"Cymbalta 60 mg gyomornedv-ellenálló kemény kapszula;""28 X   - "";""EU/1/04/296/002"";""duloxetine"";""Eli Lilly Nederland B.V."";""N06AX21"";""2025-04-30 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"DACARBAZINE LIPOMED  200 mg por oldatos injekcióhoz vagy infúzióhoz;""10 X   - injekciós üvegben"";""OGYI-T-24058/01"";""dacarbazine"";""Lipomed GmbH"";""L01AX04"";""2025-10-14 00:00:00"";""2025-11-10 00:00:00"";""Megnövekedett igény"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"DAEDALON KID 12,5 mg/5 ml belsõleges oldat;""10 X   - tasakban"";""OGYI-T-03120/02"";""dimenhydrinate"";""Richter Gedeon Nyrt."";""R06AA02"";""2024-08-28 00:00:00"";"""";""Gyártási gond"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"DASATINIB ZENTIVA  50 mg filmtabletta;""60 X   - buborékcsomagolásban"";""OGYI-T-23833/02"";""dasatinib"";""Zentiva"
"DASATINIB ZENTIVA  70 mg filmtabletta;""60 X   - buborékcsomagolásban"";""OGYI-T-23833/05"";""dasatinib"";""Zentiva"
"DASATINIB ZENTIVA 100 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-23833/08"";""dasatinib"";""Zentiva"
"DASATINIB ZENTIVA 140 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-23833/11"";""dasatinib"";""Zentiva"
"DECAPEPTYL DEPOT por és oldószer szuszpenziós injekcióhoz;""1 X   - porampulla"";""OGYI-T-05310/01"";""triptorelin"";""Ferring Magyarország Kft."";""L02AE04"";""2025-08-01 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"DECIORA 3 mg/0,03 mg filmtabletta;""3 X 21 - buborékcsomagolásban"";""OGYI-T-22271/08"";""drospirenone;ethinylestradiol"";""Sandoz Hungária Kft."";""G03AA12"";""2025-06-17 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"DERMAZIN 10 mg/g krém;""1 X 50 g Al tubusban"";""OGYI-T-01249/01"";""sulfadiazine silver"";""Sandoz Hungária Kft."";""D06BA01"";""2025-07-22 00:00:00"";""2026-01-19 00:00:00"";""Adminisztratív okok"";""Azonos hatóanyag"
"DETERGENS SULFURATUM FoNo VIII. HGA BIOMED;""1 X 100 g laminált Al tubusban"";""OGYI-T-09917/01"";""Precipitated sulfur"";""HGA Biomed Kft."";""D11AC08"";""2021-09-01 00:00:00"";"""";""Hatóanyag"
"DEXAMETAZON-FOSZFÁT NORIDEM 4 mg/ml oldatos injekció;""10 X 1 ml ampulla"";""OGYI-T-23786/03"";""dexamethasone sodium phosphate"";""Noridem Enterprises Ltd"";""H02AB02"";""2024-10-01 00:00:00"";"""";""Gyártási gond"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"DEXAMETHASONE KALCEKS 4 mg/ml oldatos injekció vagy infúzió;""10 X 1 ml ampulla"";""OGYI-T-23963/02"";""dexamethasone sodium phosphate"";""AS KALCEKS"";""H02AB02"";""2025-05-22 00:00:00"";"""";""Gyártási gond"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"DEXASON 4 mg/ml oldatos injekció;""25 X 1 ml ampulla"";""OGYI-T-24131/01"";""dexamethasone sodium phosphate"";""Galenika International Kft."";""H02AB02"";""2024-06-06 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"DEXMEDETOMIDINE KALCEKS 100 mikrogramm/ml koncentrátum oldatos infúzióhoz;""4 X 4 ml injekciós üvegben"";""OGYI-T-23604/04"";""dexmedetomidine"";""AS KALCEKS"";""N05CM18"";""2024-03-25 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"DIALOSA 1 mg tabletta;""30 X   - átlátszó buborékcsomagolásban"";""OGYI-T-20108/03"";""glimepiride"";""Bausch Health Ireland Ltd."";""A10BB12"";""2023-07-06 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"DIALOSA 2 mg tabletta;""30 X   - átlátszó buborékcsomagolásban"";""OGYI-T-20108/10"";""glimepiride"";""Bausch Health Ireland Ltd."";""A10BB12"";""2023-07-06 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"DIALOSA 4 mg tabletta;""30 X   - átlátszó buborékcsomagolásban"";""OGYI-T-20108/24"";""glimepiride"";""Bausch Health Ireland Ltd."";""A10BB12"";""2024-12-17 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"DIALOSA 6 mg tabletta;""30 X   - átlátszó buborékcsomagolásban"";""OGYI-T-20108/31"";""glimepiride"";""Bausch Health Ireland Ltd."";""A10BB12"";""2023-07-06 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"DIAZEPEKS 5 mg/ml oldatos injekció;""10 X 2 ml ampulla"";""OGYI-T-23060/01"";""diazepam"";""Grindeks AS"";""N05BA01"";""2025-02-06 00:00:00"";"""";""Szállítási vagy raktározási gondok"";""Egyedi import"";"
"DICLOFENAC SANDOZ 50 mg/g gél;""1 X 50 g tubusban"";""OGYI-T-23245/01"";""diclofenac"";""Sandoz Hungária Kft."";""M02AA15"";""2025-02-28 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"DICLOFENAC STADA 100 mg retard filmtabletta;""100 X   - buborékcsomagolásban"";""OGYI-T-04194/03"";""diclofenac"";""Stada Arzneimittel AG"";""M01AB05"";""2022-04-27 00:00:00"";"""";""Szállítási vagy raktározási gondok"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"DICLOFENAC STADA 100 mg retard filmtabletta;""20 X   - buborékcsomagolásban"";""OGYI-T-04194/01"";""diclofenac"";""Stada Arzneimittel AG"";""M01AB05"";""2022-04-27 00:00:00"";"""";""Szállítási vagy raktározási gondok"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"DICLOFENAC STADA 100 mg retard filmtabletta;""50 X   - buborékcsomagolásban"";""OGYI-T-04194/02"";""diclofenac"";""Stada Arzneimittel AG"";""M01AB05"";""2022-04-27 00:00:00"";"""";""Szállítási vagy raktározási gondok"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"DICLOFENAC-PP 1 mg/ml oldatos szemcsepp;""1 X 5 ml tartályban"";""OGYI-T-06850/01"";""diclofenac sodium"";""PannonPharma Kft."";""S01BC03"";""2022-06-27 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"DICLOFENAC-RATIOPHARM 100 mg retard kemény kapszula;""20 X   - buborékcsomagolásban"";""OGYI-T-05411/12"";""diclofenac"";""Teva Gyógyszergyár Zrt."";""M01AB05"";""2022-01-28 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"DICLOFENAC-RATIOPHARM 50 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-05411/05"";""diclofenac"";""Teva Gyógyszergyár Zrt."";""M01AB05"";""2025-10-14 00:00:00"";""2026-01-01 00:00:00"";""Gyártási gond"";""Azonos hatóanyag"
"DIFFERIN 1 mg/g gél;""1 X 30 g tubusban"";""OGYI-T-08216/01"";""adapalene"";""Galderma International"";""D10AD03"";""2019-10-04 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"DIFFERIN 1 mg/g krém;""1 X 30 g laminált Al tubusban"";""OGYI-T-08217/01"";""adapalene"";""Galderma International"";""D10AD03"";""2018-08-30 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"DIFLUCAN 100 mg kemény kapszula;""28 X   - buborékcsomagolásban"";""OGYI-T-01550/02"";""fluconazole"";""Pfizer Kft."";""J02AC01"";""2017-01-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"DIFLUCAN 150 mg kemény kapszula;""1 X   - buborékcsomagolásban"";""OGYI-T-01550/03"";""fluconazole"";""Pfizer Kft."";""J02AC01"";""2016-08-25 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"DIFLUCAN 200 mg kemény kapszula;""7 X   - buborékcsomagolásban"";""OGYI-T-01550/06"";""fluconazole"";""Pfizer Kft."";""J02AC01"";""2016-07-19 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"DIGIFUNGIN 10 mg/g kenõcs;""1 X 20 g Al tubusban"";""OGYI-T-09406/01"";""tolnaftate"";""Wagner-Pharma Kft."";""D01AE18"";""2022-10-27 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"DIKORAL 0,74 mg/ml szájnyálkahártyán alkalmazott oldat;""1 X 200 ml üvegben"";""OGYI-T-20733/01"";""diclofenac"";""Farmaka s.r.l."";""M01AB05"";""2022-11-24 00:00:00"";"""";""Hatóanyag"
"DIKORAL FORTE szájnyálkahártyán alkalmazott spray;""1 X 15 ml üvegben"";""OGYI-T-20733/02"";""diclofenac"";""Farmaka s.r.l."";""M01AB05"";""2022-10-31 00:00:00"";"""";""Hatóanyag"
"DOBUTAMIN ADMEDA 250 mg oldatos infúzió;""1 X   - injekciós üvegben"";""OGYI-T-09221/02"";""dobutamine"";""ADMEDA Arzneimittel GmbH"";""C01CA07"";""2025-10-13 00:00:00"";""2026-06-30 00:00:00"";""Piaci megfontolások"";""Azonos hatóanyag"
"DOCETAXEL HOSPIRA 10 mg/ml koncentrátum oldatos infúzióhoz;""1 X 2 ml injekciós üvegben"";""OGYI-T-20868/01"";""docetaxel"";""Pfizer Kft."";""L01CD02"";""2013-09-10 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"DOLFORIN  50 mikrogramm/óra transzdermális tapasz;""5 X   - tasakban"";""OGYI-T-20594/16"";""fentanyl"";""Richter Gedeon Nyrt."";""N02AB03"";""2025-08-05 00:00:00"";""2025-11-10 00:00:00"";""Gyártási gond"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"DOLGIT MAX 800 mg filmtabletta;""50 X   - buborékcsomagolásban"";""OGYI-T-05283/02"";""ibuprofen"";""Dolorgiet GmbH & Co. KG"";""M01AE01"";""2021-01-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"DOLOFLEX 4% külsõleges oldatos spray;""1 X 12.5 g üvegpalackban"";""OGYI-T-20327/01"";""diclofenac sodium"";""HealthPort Registration Kft. "";""M02AA15"";""2012-08-27 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"DOLOFLEX 4% külsõleges oldatos spray;""1 X 25 g üvegpalackban"";""OGYI-T-20327/02"";""diclofenac sodium"";""HealthPort Registration Kft. "";""M02AA15"";""2012-08-27 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"DONA 750 mg filmtabletta;""30 X   - HDPE tartályban"";""OGYI-T-04701/07"";""Glucosamine sulfate sodium chloride"";""Cooper Consumer Health B.V."";""M01AX05"";""2014-05-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"DONA ARTHRO 400 mg oldatos injekció;""5 X   - ampulla"";""OGYI-T-04701/06"";""glucosamine"";""Cooper Consumer Health B.V."";""M01AX05"";""2025-09-03 00:00:00"";""2025-12-31 00:00:00"";""Szállítási vagy raktározási gondok"";""Kontingens"";"
"DONALGIN 250 mg kemény kapszula;""30 X   - PP tartályban"";""OGYI-T-03557/01"";""niflumic acid"";""Richter Gedeon Nyrt."";""M01AX02"";""2024-01-08 00:00:00"";"""";""Gyártási gond"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"DORETA SR 75 mg/650 mg retard tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-21059/45"";""tramadol hydrochloride;paracetamol"";""Krka d.d."
"DOTAGRAF 0,5 mmol/ml oldatos injekció, többadagos;""1 X 60 ml injekciós üvegben"";""OGYI-T-23115/07"";""gadoteric acid"";""Bayer AG"";""V08CA02"";""2025-10-06 00:00:00"";""2025-11-03 00:00:00"";""Megnövekedett igény"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"DOXITIDIN 100 mg tabletta;""20 X   - buborékcsomagolásban"";""OGYI-T-20573/07"";""doxycycline"";""Vitabalans Oy"";""J01AA02"";""2023-04-01 00:00:00"";""2025-12-31 00:00:00"";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"DOXORUBICIN-TEVA 2 mg/ml oldatos injekció;""1 X 10 mg/5 ml üvegben"";""OGYI-T-08808/01"";""doxorubicin"";""Teva Gyógyszergyár Zrt."";""L01DB01"";""2020-02-27 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"DOXYPROTECT 100 mg kemény kapszula;""10 X   - buborékcsomagolásban"";""OGYI-T-04517/02"";""doxycycline"";""PannonPharma Kft."";""J01AA02"";""2016-02-17 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"DOXYPROTECT 100 mg kemény kapszula;""30 X   - buborékcsomagolásban"";""OGYI-T-04517/01"";""doxycycline"";""PannonPharma Kft."";""J01AA02"";""2016-02-17 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"DOXYPROTECT 200 mg kemény kapszula;""10 X   - buborékcsomagolásban"";""OGYI-T-04517/04"";""doxycycline"";""PannonPharma Kft."";""J01AA02"";""2016-02-17 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"DOXYPROTECT 200 mg kemény kapszula;""30 X   - buborékcsomagolásban"";""OGYI-T-04517/03"";""doxycycline"";""PannonPharma Kft."";""J01AA02"";""2016-02-17 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"DOZOPRES COMBI 20 mg/ml+5 mg/ml oldatos szemcsepp;""1 X 5 ml cseppentõs tartályban"";""OGYI-T-21780/01"";""dorzolamide;timolol"";""Bausch + Lomb Ireland Ltd."";""S01ED51"";""2024-03-25 00:00:00"";""2025-05-31 00:00:00"";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"DUCILTIA 60 mg gyomornedv-ellenálló kemény kapszula;""28 X   - buborékcsomagolásban"";""OGYI-T-22935/08"";""duloxetine hydrochloride"";""Richter Gedeon Nyrt."";""N06AX21"";""2025-10-14 00:00:00"";""2025-11-30 00:00:00"";""Gyártási gond"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"DULCOLAX 7,5 mg/ml belsõleges oldatos cseppek;""1 X 15 ml palackban"";""OGYI-T-06851/01"";""sodium picosulfate"";""Opella Healthcare Commercial Kft."";""A06AB08"";""2025-06-25 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"DULODET 30 mg gyomornedv-ellenálló kemény kapszula;""4 X 7 - buborékcsomagolásban"";""OGYI-T-22889/04"";""duloxetine"";""Egis Gyógyszergyár Zrt."";""N06AX21"";""2024-06-12 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"DULODET 60 mg gyomornedv-ellenálló kemény kapszula;""4 X 7 - buborékcsomagolásban"";""OGYI-T-22889/14"";""duloxetine"";""Egis Gyógyszergyár Zrt."";""N06AX21"";""2024-06-12 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"DULOXETIN SANDOZ 30 mg gyomornedv-ellenálló kemény kapszula;""28 X   - buborékcsomagolásban"";""OGYI-T-22979/01"";""duloxetine"";""Sandoz Hungária Kft."";""N06AX21"";""2024-11-14 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"DULOXETIN SANDOZ 60 mg gyomornedv-ellenálló kemény kapszula;""28 X   - buborékcsomagolásban"";""OGYI-T-22979/07"";""duloxetine"";""Sandoz Hungária Kft."";""N06AX21"";""2024-07-18 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"DULOXETIN STADA 30 mg gyomornedv-ellenálló kemény kapszula;""28 X   - buborékcsomagolásban"";""OGYI-T-22902/04"";""duloxetine"";""Stada Arzneimittel AG"";""N06AX21"";""2022-04-27 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"DULOXETIN STADA 60 mg gyomornedv-ellenálló kemény kapszula;""28 X   - buborékcsomagolásban"";""OGYI-T-22902/17"";""duloxetine"";""Stada Arzneimittel AG"";""N06AX21"";""2022-07-11 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"Daurismo 100 mg filmtabletta;""30 X   - buborékcsomagolásban"";""EU/1/20/1451/004"";""glasdegib"";""Pfizer Europe MA EEIG "";""L01XX63"";""2023-11-01 00:00:00"";"""";""Piaci megfontolások"";""Egyedi import"";"
"Daxas 500 mikrogramm filmtabletta;""30 X   - buborékcsomagolásban"";""EU/1/10/636/002"";""roflumilast"";""AstraZeneca AB"";""R03DX07"";""2020-06-24 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Duloxetine Viatris 60 mg gyomornedv-ellenálló kemény kapszula ;""28 X   - buborékcsomagolásban"";""EU/1/15/1010/050"";""duloxetine"";""Viatris Ltd."";""N06AX21"";""2025-02-11 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Duloxetine Viatris 60 mg gyomornedv-ellenálló kemény kapszula ;""28 X   - buborékcsomagolásban"";""EU/1/15/1010/050"";""duloxetine"";""Viatris Ltd."";""N06AX21"";""2025-02-11 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Duloxetine Zentiva 30 mg gyomornedv-ellenálló kemény kapszula;""28 X   - buborékcsomagolásban"";""EU/1/15/1028/002"";""duloxetine"";""Zentiva"
"Duloxetine Zentiva 60 mg gyomornedv-ellenálló kemény kapszula;""28 X   - buborékcsomagolásban"";""EU/1/15/1028/004"";""duloxetine"";""Zentiva"
"EBETREXAT 20 mg/ml oldatos injekció elõretöltött fecskendõben;""1 X 1.25 ml elõretöltött fecskendõben"";""OGYI-T-20971/78"";""methotrexate"";""Sandoz Hungária Kft."";""L04AX03"";""2017-04-25 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"EDRONAX 4 mg tabletta;""60 X   - buborékcsomagolásban"";""OGYI-T-06922/01"";""reboxetine"";""Pfizer Kft."";""N06AX18"";""2025-07-16 00:00:00"";"""";""Hatóanyag"
"EFFEZEL 1 mg/g+25 mg/g gél;""1 X 30 g többadagos tartályban"";""OGYI-T-23200/05"";""adapalene;benzoyl peroxide"
"EFFEZEL FORTE 3 mg/g + 25 mg/g gél;""1 X 30 g többadagos tartályban"";""OGYI-T-23200/14"";""adapalene;benzoyl peroxyde"";""Galderma International"";""D10AD53"";""2024-10-03 00:00:00"";""2025-12-31 00:00:00"";""Szállítási vagy raktározási gondok"";""Egyedi import"";"
"EGIFERON 1x10^6 NE por és oldószer oldatos injekcióhoz;""10 X   - porampulla+oldószerampulla"";""OGYI-T-03722/01"";""interferon alfa"";""PannonPharma Kft."";""L03AB01"";""2016-02-27 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"EGIFERON 3x10^6 NE por és oldószer oldatos injekcióhoz;""10 X   - porampulla+oldószerampulla"";""OGYI-T-03892/01"";""interferon alfa"";""PannonPharma Kft."";""L03AB01"";""2016-02-27 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"EGITROMB 75 mg filmtabletta;""28 X   - buborékcsomagolásban"";""OGYI-T-20925/01"";""clopidogrel"";""Egis Gyógyszergyár Zrt."";""B01AC04"";""2025-07-31 00:00:00"";""2026-12-31 00:00:00"";""Piaci megfontolások"";""Azonos hatóanyag"
"ELEBER 60 mg koncentrátum és oldószer oldatos infúzióhoz;""1 X 1.5 ml injekciós üvegben"";""OGYI-T-23867/01"";""Cabazitaxel"";""Zentiva"
"ELIXIRIUM THYMI COMPOSITUM FoNo VII. HUNGARO-GAL;""1 X 150  g "";""OGYI-T-20558/01"";""elixirium thymi compositum"";""Hungaro-Gal Kft."";""R05F"";""2021-09-01 00:00:00"";"""";""Hatóanyag"
"ELOCOM 0,1% kenõcs;""1 X 15 g Al tubusban"";""OGYI-T-04219/01"";""mometasone"";""Organon Hungary Kft."";""D07AC13"";""2024-12-20 00:00:00"";"""";""Adminisztratív okok"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ELOCOM 0,1% krém;""1 X 15 g Al tubusban"";""OGYI-T-04219/03"";""mometasone"";""Organon Hungary Kft."";""D07AC13"";""2024-12-19 00:00:00"";"""";""Adminisztratív okok"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ELVEN 16 mg tabletta;""60 X   - buborékcsomagolásban"";""OGYI-T-20218/04"";""betahistine"";""Actavis Group PTC ehf."";""N07CA01"";""2022-10-18 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ENALAPRIL 1 A PHARMA  5 mg tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-09819/01"";""enalapril"";""1 A Pharma GmbH"";""C09AA02"";""2024-10-28 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ENALAPRIL 1 A PHARMA 10 mg tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-09819/02"";""enalapril"";""1 A Pharma GmbH"";""C09AA02"";""2024-12-13 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ENALAPRIL 1 A PHARMA 20 mg tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-09819/03"";""enalapril"";""1 A Pharma GmbH"";""C09AA02"";""2025-02-06 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
